site,year,month,day_frac_T4,day_frac_arh,logger,T4_mean,T4_absmax,T4_absmin,T4_meanmax,T4_meanmin,arh_sd,arh_cv,arh_med,arh_mean,arh_absmax,arh_absmin,T4_TDD,T4_GDD3,T4_GDD5,T4_FDD,T4_TDD_days,T4_GDD3_days,T4_GDD5_days,T4_FDD_days
38,2019,10,1,1,a,1.44,9.4,-7.1,3.35,-0.57,2.12,0.02,99.2,98.2,100,81.5,59.98,42.92,32.01,-15.23,23,8,5,8
38,2019,11,1,1,a,-2.49,5.3,-13.8,-1.01,-4.5,1.84,0.02,98,97.9,100,92.5,12.04,3.56,0,-86.67,7,1,0,23
38,2019,12,1,1,a,-2.36,1.2,-11.8,-0.81,-4.04,1.95,0.02,97.2,96.7,99.9,89.3,3.66,0,0,-76.97,9,0,0,22
38,2020,1,1,1,a,-3.04,2.6,-16.3,-1.19,-5.03,2.79,0.03,95,94.7,99.1,79.3,5.9,0,0,-100.11,10,0,0,21
38,2020,2,1,1,a,-3.88,3.4,-14.7,-0.76,-6.39,3.53,0.04,94,92.3,97.4,56,5.97,0,0,-118.59,8,0,0,21
38,2020,3,1,1,a,-1.58,14,-12.1,4.27,-5.55,12.69,0.16,79.4,78.4,95.9,30.2,20.73,10.44,0,-69.83,11,3,0,20
38,2020,4,1,1,a,0.98,19.6,-10.1,8.45,-3.8,8.1,0.11,75,74.7,94.1,28,40.12,20.36,0,-10.58,21,5,0,9
38,2020,5,1,1,a,7.61,32.6,-4,17.59,-0.12,13.62,0.19,68.8,71.7,97.9,21.2,235.85,226.62,198.18,0,31,26,19,0
38,2020,6,1,1,a,17.6,37.1,2.3,30.28,8.51,9.31,0.13,68.8,70.9,95.9,21.4,527.98,527.98,527.98,0,30,30,30,0
38,2020,7,1,1,a,15.18,32.8,6,22.83,9.29,6.77,0.08,90.4,89.3,100,41.7,470.66,470.66,470.66,0,31,31,31,0
38,2020,8,0.7096774193548387,0.7096774193548387,a,14.88,27.5,3.2,21.93,9.6,4.03,0.04,89.3,89.8,100,57.1,327.32,327.32,327.32,0,22,22,22,0
38,2020,10,0.1935483870967742,0.1935483870967742,a,4.8,9.4,-2.6,6.4,2.72,0.23,0,97.3,97.4,100,97.2,30.85,30.85,27.31,-2.04,5,5,4,1
38,2020,11,1,1,a,0.58,8.8,-6.6,2.21,-1.11,1.86,0.02,99.8,98.7,100,79.4,42.24,27.78,12.06,-24.87,16,6,2,14
38,2020,12,1,1,a,-3.15,2.2,-9.4,-1.52,-4.7,0.2,0,100,99.9,100,98.6,4.14,0,0,-101.72,5,0,0,26
38,2021,1,1,1,a,-8.84,0.7,-28.3,-6.84,-11.27,2.67,0.03,99.4,98.1,100,89,1.12,0,0,-275.24,3,0,0,28
