site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
2,2019,9,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,6.95,9.91,4.97,7.25,6.67,5.64,9,1.5,6.99,4.06,4.64,10.03,-1.78,7.17,1.64,2.39,0.08,30.2,30.5,42.4,23.1,111.19,111.19,111.19,0,16,16,16,0,90.25,90.25,62.8,0,16,16,9,0,74.18,61.73,54.61,0,16,10,8,0
2,2019,10,1,1,1,1,4.39,8.03,2.03,4.69,4.11,2.97,8.69,-1.62,3.89,1.9,1.69,9.22,-6.53,3.33,-0.32,1.42,0.04,36,35.7,47.1,29,136.01,128.59,40.4,0,31,28,7,0,93.18,62.58,25.11,-0.98,29,14,4,2,63.05,39.44,32.01,-10.64,27,7,5,4
2,2019,11,1,1,1,0.4666666666666667,1.2,2.03,0.09,1.3,1.08,-0.15,1.75,-3.31,0.16,-0.58,-2.19,1.28,-14.09,-1.23,-3.65,7.45,0.19,35.7,39.6,55.2,31.9,36.13,0,0,0,30,0,0,0,8.11,0,0,-12.54,17,0,0,13,2.6,0,0,-68.18,6,0,0,24
2,2019,12,1,1,1,0,0.68,0.78,0.41,0.7,0.65,0.18,0.44,-0.75,0.25,0.1,-0.79,-0.16,-4.91,-0.5,-1.16,NA,NA,NA,NA,NA,NA,20.93,0,0,0,31,0,0,0,7.24,0,0,-1.71,25,0,0,6,0,0,0,-24.54,0,0,0,31
2,2020,1,1,1,1,0,0.32,0.53,0.03,0.36,0.3,0.02,0.44,-0.75,0.1,-0.08,-0.83,-0.16,-3.66,-0.58,-1.13,NA,NA,NA,NA,NA,NA,9.89,0,0,0,31,0,0,0,3.44,0,0,-2.84,20,0,0,11,0,0,0,-25.76,0,0,0,31
2,2020,2,1,1,1,0,-0.03,0.09,-0.09,-0.01,-0.05,-0.21,0,-0.5,-0.16,-0.26,-0.93,-0.16,-2.78,-0.71,-1.17,NA,NA,NA,NA,NA,NA,0.28,0,0,-1.11,10,0,0,19,0,0,0,-5.96,0,0,0,29,0,0,0,-27.09,0,0,0,29
2,2020,3,1,1,1,0,-0.09,-0.09,-0.09,-0.09,-0.09,-0.19,-0.12,-0.44,-0.16,-0.21,-0.78,-0.16,-2.16,-0.54,-1.02,NA,NA,NA,NA,NA,NA,0,0,0,-2.79,0,0,0,31,0,0,0,-5.75,0,0,0,31,0,0,0,-24.26,0,0,0,31
2,2020,4,1,1,1,0,-0.06,0.09,-0.16,-0.05,-0.07,-0.1,0.06,-0.31,-0.08,-0.13,-0.37,-0.09,-1.97,-0.22,-0.62,NA,NA,NA,NA,NA,NA,0.27,0,0,-2.04,7,0,0,23,0.01,0,0,-3.08,3,0,0,29,0,0,0,-11.11,0,0,0,30
2,2020,5,1,1,1,0.8387096774193549,3.01,6.91,0.03,3.43,2.58,3.85,12.12,-0.12,5.49,1.98,4.88,19.22,-2.53,8.61,0.46,3.67,0.08,44,45.3,55.6,41.5,93.36,59.45,43.37,0,31,11,7,0,119.52,92.22,77.44,-0.06,30,14,10,1,151.95,124.84,108.93,-0.59,29,15,11,2
2,2020,6,1,1,1,1,10.17,13.53,6.66,10.59,9.76,12.66,19.62,6.38,14.64,10.31,15.22,26.22,5.09,19.6,10.07,5.13,0.15,34.5,34.3,42.1,22.8,305.12,305.12,305.12,0,30,30,30,0,379.79,379.79,379.79,0,30,30,30,0,456.56,456.56,456.56,0,30,30,30,0
2,2020,7,1,1,1,1,11.63,13.78,10.28,11.94,11.33,12.67,17.44,9.38,13.96,11.11,13.5,22.22,7.41,16.4,10.22,1.43,0.04,38.5,38.4,49.8,34.8,360.59,360.59,360.59,0,31,31,31,0,392.63,392.63,392.63,0,31,31,31,0,418.44,418.44,418.44,0,31,31,31,0
2,2020,8,1,1,1,1,12.02,14.47,10.09,12.39,11.71,12.6,17.88,8.38,14.01,11.01,12.88,21.41,5.47,15.92,9.57,3.83,0.11,35,34,45.3,25,372.77,372.77,372.77,0,31,31,31,0,390.75,390.75,390.75,0,31,31,31,0,399.21,399.21,399.21,0,31,31,31,0
2,2020,9,1,1,1,1,9.27,11.66,7.03,9.57,9.01,9.36,13.44,5,10.53,8.08,9.14,15.28,1.59,11.8,6.35,4.8,0.12,42,40.5,55.7,32,278.06,278.06,278.06,0,30,30,30,0,280.83,280.83,280.83,0,30,30,30,0,274.33,274.33,274.33,0,30,30,30,0
2,2020,10,1,1,1,1,6.66,9.59,3.09,7,6.36,6.08,10.62,-0.88,6.96,5.06,5.16,12.22,-1.78,6.87,3.26,3.6,0.08,42.6,43.8,56.4,38.3,206.48,206.48,175.47,0,31,31,23,0,189.05,180.73,148.94,-0.49,30,26,18,1,162.35,152.85,141.48,-2.25,28,20,17,3
2,2020,11,1,1,1,0.8333333333333334,2.71,5.41,0.59,3.03,2.38,1.12,8.62,-5.75,2.38,-0.35,0.91,8.97,-6.84,2.32,-0.73,4.81,0.11,40.3,42.9,57,38.9,81.45,45.5,10.11,0,30,11,2,0,46.06,28.51,11.72,-12.58,19,6,2,11,44.14,28.82,17.17,-16.86,18,6,3,12
2,2020,12,1,1,1,0,0.14,1.03,-0.28,0.18,0.08,-2.07,0.38,-7,-1.15,-3.11,-2.7,0.84,-8.66,-1.43,-4.1,NA,NA,NA,NA,NA,NA,7.46,0,0,-3.23,13,0,0,18,0.36,0,0,-64.48,3,0,0,28,0.91,0,0,-84.74,4,0,0,27
2,2021,1,1,1,1,0,-0.4,-0.09,-1.41,-0.35,-0.47,-3.65,-0.12,-14.38,-2.7,-4.76,-7.8,-0.16,-27.53,-5.89,-10.22,NA,NA,NA,NA,NA,NA,0,0,0,-12.55,0,0,0,31,0,0,0,-113.03,0,0,0,31,0,0,0,-241.94,0,0,0,31
2,2021,2,1,1,1,0,-0.91,-0.22,-1.78,-0.82,-1.01,-3.41,-0.12,-8.19,-2.67,-4.23,-7.72,-0.22,-17.16,-6.03,-9.52,NA,NA,NA,NA,NA,NA,0,0,0,-25.61,0,0,0,28,0,0,0,-95.5,0,0,0,28,0,0,0,-216.19,0,0,0,28
2,2021,3,1,1,1,0,-0.61,-0.28,-1.84,-0.54,-0.67,-1.16,-0.12,-7.62,-0.79,-1.64,-2.05,-0.16,-13.84,-1.39,-2.9,NA,NA,NA,NA,NA,NA,0,0,0,-19.06,0,0,0,31,0,0,0,-35.86,0,0,0,31,0,0,0,-63.49,0,0,0,31
2,2021,4,1,1,1,0,-0.27,-0.09,-0.34,-0.26,-0.28,-0.11,0,-0.5,-0.09,-0.15,-0.15,0.41,-1.41,-0.03,-0.28,NA,NA,NA,NA,NA,NA,0,0,0,-8.19,0,0,0,30,0,0,0,-3.38,0,0,0,30,0.03,0,0,-4.64,1,0,0,29
